Galaxy,Mobs_1265
CDFS130840_P3M3Q1_P3M2Q1_004_2,-21.192837237258694
CDFS132586_P1M3Q1_P3M1Q1_P1M4Q1_P1M1Q1_001_1,-21.08967161192198
CDFS105315_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_021_1,-20.419534742376054
CDFS024133_P3M3Q2_P3M2Q2_P3M1Q2_P3M4Q2_007_1,-20.332457125269784
CDFS228618_P4M1Q1_P2M4Q1_006_1,-21.565596683841452
CDFS007541_P3M1Q4_P1M1Q4_P3M2Q4_P3M3Q4_001_1,-21.59711117767823
CDFS025472_P4M2Q1_P4M4Q1_P4M3Q1_P1M1Q1_001_1,-20.87683737885257
CDFS000321_P4M1Q3_P4M4Q3_P4M2Q3_P4M3Q3_001_1,-19.71816758259106
UDS141491_P2M2Q4_P2M3Q4_003_1,-21.95449030365521
CDFS017345_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_010_1,-21.679516900188663
CDFS221651_P1M1Q3_P1M3Q3_P1M4Q3_007_1,-20.563462426979598
CDFS138745_P1M4Q2_P3M4Q2_001_1,-21.367107877761764
CDFS020014_P1M1Q2_P3M1Q2_P2M4Q2_P2M1Q2_001_1,-21.475508334573696
CDFS119091_P3M1Q4_P3M4Q4_P3M2Q4_P3M3Q4_008_1,-21.957072245444532
UDS150237_P4M2Q3_P4M3Q3_018_1,-21.922431797561202
CDFS231194_P3M4Q1_026_1,-21.996393834658956
CDFS019276_P3M3Q2_P3M2Q2_001_1,-21.763741329110953
UDS002072_P3M3Q3_P3M2Q3_P3M4Q3_P3M1Q3_002_3,-21.61828112571255
CDFS208053_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_025_1,-20.92227107758535
UDS146648_P1M2Q4_P1M3Q4_007_1,-21.439369712872
CDFS002296_P1M2Q4_P4M1Q4_001_1,-21.617448672055925
UDS019181_P4M4Q2_P2M2Q2_P2M1Q2_001_1,-20.519808550549765
CDFS020583_P4M4Q2_P4M3Q2_P1M4Q2_P2M1Q2_001_1,-20.290090850569506
UDS013664_P2M1Q1_P2M2Q1_P2M4Q1_007_1,-20.966038314271767
UDS197598_P2M1Q2_P2M4Q2_012_1,-22.08028156511826
UDS000330_P4M4Q3_P4M3Q3_001_1,-21.969645260556455
CDFS106745_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_023_1,-20.904157938221665
UDS000800_P4M1Q3_P4M4Q3_P4M2Q3_P4M3Q3_002_2,-21.013968030729465
CDFS000814_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_001_1,-20.226390838659515
UDS378854_P1M1Q2_P1M2Q2_P1M3Q2_P1M4Q2_002_1,-21.571966374744097
CDFS128455_P1M3Q2_P1M4Q2_014_1,-21.851601631994605
CDFS105360_P3M2Q4_031_2,-21.449968451209912
CDFS129134_P4M1Q2_P4M2Q2_P1M1Q2_P1M4Q2_001_1,-21.002001572526762
UDS295074_P3M3Q3_P3M2Q3_P3M4Q3_P3M1Q3_014_1,-21.703528817491367
CDFS101861_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_014_1,-21.069235061257878
UDS027014_P3M1Q1_P3M2Q1_009_1,-21.318065016707045
UDS143762_P4M1Q4_033_1,-22.18436794731176
UDS021975_P2M1Q2_P2M2Q2_P2M3Q2_P2M4Q2_014_1,-21.105869369737633
UDS157594_P3M1Q4_P3M4Q4_P3M2Q4_P3M3Q4_007_2,-20.697699704353624
UDS021526_P4M2Q1_P4M1Q1_P4M4Q1_P4M3Q1_002_2,-20.653167969162826
UDS014660_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_003_1,-21.47790722832866
CDFS107694_P3M3Q3_P3M2Q3_P3M4Q3_P3M1Q3_006_1,-21.205109723569223
CDFS016098_P4M4Q1_P2M1Q1_001_1,-20.634346299208595
CDFS101596_P4M3Q3_019_1,-21.97692415464054
UDS150302_P1M4Q4_P3M1Q4_001_1,-22.183970934120516
UDS383959_P4M2Q1_P4M1Q1_P4M4Q1_P4M3Q1_009_2,-21.089079652329684
CDFS009134_P3M3Q3_P3M4Q3_001_2,-20.72074097790245
CDFS023836_P4M4Q2_020_1,-21.07710544553313
CDFS203169_P4M2Q4_P4M1Q4_002_2,-21.782368484341234
CDFS018915_P4M4Q1_P3M2Q1_001_1,-20.652771563779414
CDFS018882_P4M4Q2_P4M1Q2_P4M2Q2_P4M3Q2_004_1,-20.49628191105605
UDS019380_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_002_1,-21.703364808426333
CDFS241007_P3M3Q2_P3M4Q2_002_1,-20.449476879736856
CDFS113741_P4M1Q3_P4M4Q3_P4M2Q3_P4M3Q3_010_1,-21.240072525274808
UDS023283_P3M3Q2_P3M2Q2_P3M1Q2_P3M4Q2_001_2,-20.712304190058067
