Galaxy,OutputAll0,DirAll0,x2All0,outAll0,OutputAll1,DirAll1,x2All1,outAll1,OutputAll2,DirAll2,x2All2,outAll2,OutputAll3,DirAll3,x2All3,outAll3,OutputAll4,DirAll4,x2All4,outAll4,OutputAll5,DirAll5,x2All5,outAll5,OutputAll6,DirAll6,x2All6,outAll6,OutputAll7,DirAll7,x2All7,outAll7,OutputAll8,DirAll8,x2All8,outAll8,OutputAll9,DirAll9,x2All9,outAll9
CDFS130840_P3M3Q1_P3M2Q1_004_2,102,214,0.6521665655115142,6.0,100,165,0.7272356053710223,5.0,164,98,0.7716518416780155,1.0,102,234,0.8084622032266151,7.0,106,185,0.8759788919844677,7.0,99,76,0.8851499783852639,4.0,104,202,0.887031723913319,4.0,102,97,0.8945096004026447,2.0,163,78,0.8977066883350512,2.0,105,243,0.9331937221893737,5.0
CDFS132586_P1M3Q1_P3M1Q1_P1M4Q1_P1M1Q1_001_1,158,243,1.6774970077252231,-3.0,148,220,1.7164126904090011,-3.0,152,196,1.8839569858986178,-2.0,148,40,2.0115219554866153,-5.0,148,200,2.042435422072061,-4.0,149,146,2.0774204903660047,-8.0,149,117,2.092539752636203,-7.0,99,10,2.10416990234393,-7.0,101,204,2.1160357911838568,2.0,148,60,2.1976213808059946,-8.0
CDFS105315_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_021_1,161,124,3.594037583431831,6.0,94,167,3.649942330632068,6.0,100,221,3.734450833965306,7.0,99,78,3.822221166184687,-11.0,100,138,3.8851261661641123,-6.0,99,116,3.9099335180926498,-1.0,100,98,3.9283685283951786,-8.0,99,160,3.953998400910807,2.0,99,129,3.9540052870339535,4.0,99,177,3.9602617067980104,-6.0
CDFS024133_P3M3Q2_P3M2Q2_P3M1Q2_P3M4Q2_007_1,148,155,4.182402257990629,-8.0,116,208,4.236700018463181,-15.0,148,40,4.290162522229866,-2.0,120,165,4.302726954160195,-10.0,149,167,4.405736584675352,-14.0,120,186,4.410705694002028,-13.0,149,139,4.427513297384469,4.0,148,138,4.432594378556494,2.0,149,187,4.447698725312753,-12.0,149,75,4.455275278689584,-10.0
CDFS228618_P4M1Q1_P2M4Q1_006_1,141,128,2.220452428602131,16.0,147,209,2.281205646571468,14.0,164,178,2.29628472145238,22.0,100,243,2.305670487248929,19.0,147,150,2.3083071970627262,14.0,100,244,2.3183707966164544,22.0,140,128,2.3349053137202955,16.0,141,148,2.3371944799091566,14.0,147,190,2.344669346885389,14.0,151,177,2.3548010170735294,19.0
CDFS007541_P3M1Q4_P1M1Q4_P3M2Q4_P3M3Q4_001_1,99,160,3.4637672463352622,-5.0,148,157,3.559877348667744,-1.0,99,78,3.6196336202662724,-20.0,100,138,3.6683566462622075,-17.0,143,120,3.6943365825874026,-16.0,100,118,3.7145388995569757,-17.0,101,79,3.721740018958247,-14.0,101,21,3.742261104009788,-12.0,100,98,3.751401836915603,-16.0,99,197,3.758286141409707,-13.0
CDFS025472_P4M2Q1_P4M4Q1_P4M3Q1_P1M1Q1_001_1,162,183,1.7764879980009156,2.0,99,197,1.7908068318560195,-1.0,100,198,1.820326729646471,1.0,100,138,1.8661369900449583,0.0,99,137,1.8886166449507868,-4.0,99,158,1.9690293068921274,-4.0,101,58,1.9779649865690476,-9.0,99,136,1.9979613992010299,2.0,99,97,2.006219696200813,-4.0,162,202,2.017376709188707,2.0
CDFS000321_P4M1Q3_P4M4Q3_P4M2Q3_P4M3Q3_001_1,152,196,0.8684313701980789,-12.0,158,243,0.9460309918839546,-13.0,148,220,0.9877444091085279,-11.0,99,10,1.0476322437908752,-17.0,103,13,1.064118733565699,-16.0,148,200,1.073442160876055,-15.0,149,97,1.0758514711799951,-15.0,99,37,1.0903040007845248,-12.0,145,0,1.0933419805958882,-15.0,145,11,1.0979449611587206,-18.0
UDS141491_P2M2Q4_P2M3Q4_003_1,99,10,0.5188989363622948,8.0,149,136,0.528407427864871,12.0,148,157,0.5818128163141952,15.0,152,196,0.588700716203845,10.0,148,220,0.5945438438075491,10.0,103,13,0.6158570546255738,7.0,101,21,0.632251101349192,7.0,102,10,0.6384765910123599,7.0,107,150,0.641046044015076,11.0,158,243,0.6671879397717214,10.0
CDFS017345_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_010_1,148,225,1.4061541242778541,-23.0,148,131,1.4190334868446994,-18.0,148,155,1.4227101479518762,-16.0,148,153,1.4468653644129774,-16.0,149,60,1.4496913895395442,-11.0,148,138,1.454277018708706,-7.0,149,205,1.4939161385909043,-24.0,164,98,1.5007047940328617,-4.0,149,166,1.522494922066695,-22.0,148,101,1.5357467070928252,-12.0
CDFS221651_P1M1Q3_P1M3Q3_P1M4Q3_007_1,148,157,1.6963717311117665,-3.0,152,196,2.2567772474459673,-5.0,164,118,2.3335402308165865,-9.0,162,183,2.4319793152274176,-11.0,158,224,2.433125187915913,-10.0,102,56,2.537533269577204,-10.0,158,223,2.602068996592039,-9.0,148,220,2.622069094176305,-8.0,158,243,2.625721516432387,-6.0,164,137,2.650590451985142,-10.0
CDFS138745_P1M4Q2_P3M4Q2_001_1,100,224,5.919009586525853,6.0,102,50,5.966186701994476,3.0,100,203,5.980379704283916,7.0,101,84,6.040686025889618,6.0,102,279,6.0438949572946825,4.0,102,51,6.069657299448276,1.0,102,173,6.105846875164339,5.0,142,148,6.147591315243202,-10.0,162,99,6.166735216573683,7.0,102,278,6.19193105959127,2.0
CDFS020014_P1M1Q2_P3M1Q2_P2M4Q2_P2M1Q2_001_1,158,53,3.0873592899064914,25.0,153,171,3.0926486127271486,-6.0,155,263,3.1208797900019385,27.0,153,169,3.1222716699373727,-6.0,148,246,3.1276967325730687,-18.0,152,43,3.132111283648661,24.0,114,60,3.1609758661617966,-11.0,156,264,3.188714059505353,24.0,115,195,3.192336513289657,-12.0,156,283,3.1931328765675,26.0
CDFS119091_P3M1Q4_P3M4Q4_P3M2Q4_P3M3Q4_008_1,149,148,1.1792665199695902,-3.0,109,191,1.249450873844506,1.0,149,185,1.2550430690005605,-11.0,148,157,1.268509586982385,4.0,103,285,1.2760046014324273,1.0,148,40,1.2945038512398663,1.0,148,177,1.315717749642181,-1.0,148,220,1.3304550410534102,2.0,99,157,1.3447973224993552,-5.0,149,167,1.354627649244993,-9.0
UDS150237_P4M2Q3_P4M3Q3_018_1,158,53,1.7730387023186112,27.0,152,296,1.7897734607485227,30.0,159,35,1.8755783869540632,25.0,160,289,1.878425267867236,28.0,160,293,1.8925022352150838,28.0,164,258,1.8936864926767516,29.0,160,285,1.8990988362908863,25.0,158,293,1.8991448703576375,27.0,102,193,1.902109829506346,26.0,160,262,1.906098757214015,27.0
CDFS102002_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_016_2,149,95,0.9387531672704651,-14.0,149,204,0.9794974360432052,-20.0,149,160,0.9826321254811791,-18.0,148,179,1.0123286576239223,-11.0,148,223,1.0210011237346568,-19.0,103,197,1.0224395773754595,-21.0,148,261,1.025855759309209,-21.0,153,80,1.0669896454562258,-17.0,149,161,1.0739304425767726,-17.0,149,168,1.0759102874612754,-17.0
CDFS231194_P3M4Q1_026_1,99,118,1.7514543935159708,-38.0,149,203,1.7772022030059171,-41.0,99,78,1.7797214543065076,-37.0,99,137,1.7957096382045437,-36.0,101,58,1.7960401229032645,-41.0,101,37,1.8413131044111772,-39.0,99,158,1.8430444756317705,-36.0,99,97,1.8448352337747627,-36.0,100,97,1.8624628216522066,-39.0,133,78,1.933879389875382,-41.0
CDFS019276_P3M3Q2_P3M2Q2_001_1,149,178,0.5154518879563394,0.0,148,180,0.5189767354182309,0.0,149,158,0.5603214033752787,0.0,149,97,0.5603955114684792,0.0,149,80,0.5604623648908778,0.0,149,156,0.5776004669393586,0.0,150,119,0.5827442761381818,0.0,149,117,0.5828552820488802,0.0,148,40,0.5829035514234786,0.0,100,180,0.589408481976592,0.0
UDS002072_P3M3Q3_P3M2Q3_P3M4Q3_P3M1Q3_002_3,148,157,1.6743928475675578,1.0,148,198,2.185959833761154,-5.0,158,243,2.2473150913519238,0.0,148,60,2.3236201073391474,-9.0,164,117,2.4371658208379188,-9.0,163,97,2.4382106838519046,-6.0,148,176,2.47965052201151,-7.0,148,220,2.4861714862240882,-3.0,101,204,2.5135464565528465,7.0,164,78,2.540140777171283,-7.0
CDFS208053_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_025_1,148,157,0.9990718759761089,0.0,148,60,1.1900215953603992,-7.0,102,10,1.1975298597948831,-8.0,143,120,1.2233591163695097,-7.0,149,203,1.2327587028543143,-17.0,99,197,1.2918394731079657,-8.0,164,118,1.3091456476082746,-4.0,99,10,1.3163985257457058,-5.0,99,78,1.317684303362481,-11.0,99,137,1.329298556083953,-12.0
UDS146648_P1M2Q4_P1M3Q4_007_1,148,179,2.9105676571354127,-18.0,164,56,2.9160869853143323,-22.0,148,135,2.9988956764650028,-28.0,151,23,3.0502166254100627,-30.0,151,39,3.0692974868284524,-30.0,161,222,3.079303744230509,-21.0,151,78,3.102064803315088,-27.0,164,37,3.109632341466481,-22.0,149,95,3.111169542839006,-22.0,153,174,3.1152920767246655,-21.0
CDFS002296_P1M2Q4_P4M1Q4_001_1,149,75,1.3520848475810094,-20.0,148,180,1.440066777974071,-8.0,148,200,1.4587913338829295,-11.0,149,117,1.4615895029756771,-14.0,148,69,1.4692466871801986,-17.0,148,131,1.475422260122179,-14.0,148,156,1.4919159855591475,-19.0,149,199,1.5036399610327096,-10.0,149,137,1.527330956642641,-15.0,148,89,1.5273413750772549,-20.0
UDS019181_P4M4Q2_P2M2Q2_P2M1Q2_001_1,100,98,1.3237031355708213,2.0,99,78,1.3329000306573975,0.0,99,197,1.4526129758347825,3.0,100,185,1.4818590299015462,12.0,164,118,1.5242186450954534,7.0,163,97,1.565331492165779,7.0,100,138,1.5816621416367518,4.0,163,77,1.647679886164751,5.0,143,120,1.6611330168774574,5.0,102,10,1.672250298619041,4.0
CDFS020583_P4M4Q2_P4M3Q2_P1M4Q2_P2M1Q2_001_1,100,138,0.9194725167971949,0.0,148,60,1.062431620529011,0.0,100,98,1.0771426249520517,0.0,99,197,1.158247888629273,0.0,148,177,1.1759363791758959,0.0,148,198,1.185097535430694,0.0,162,183,1.2072739471465377,0.0,163,77,1.2125978562868052,0.0,164,97,1.2639256827498826,0.0,100,290,1.275547509773531,0.0
UDS013664_P2M1Q1_P2M2Q1_P2M4Q1_007_1,99,76,0.838323233614217,-2.0,152,253,0.8507538630727545,-6.0,152,252,0.8956868212333892,-4.0,112,15,0.9017944868048198,-13.0,164,158,0.9071138498003373,-6.0,99,56,0.9116649113107038,-1.0,164,98,0.9138148398401527,-6.0,103,63,0.9205846808228364,-9.0,112,47,0.9222142165446037,-13.0,101,204,0.9235100065735631,4.0
UDS197598_P2M1Q2_P2M4Q2_012_1,148,76,0.4952453268485726,17.0,149,56,0.5082627335291325,17.0,148,182,0.5095645485913144,16.0,148,142,0.5149953443802557,10.0,149,55,0.5151741843744656,15.0,148,117,0.5178366541811932,19.0,148,276,0.5292211162943724,12.0,148,160,0.5382055686268553,15.0,148,288,0.5443026259787502,11.0,148,140,0.5463245942917541,14.0
UDS000330_P4M4Q3_P4M3Q3_001_1,149,13,1.9277568765534638,1.0,149,9,1.9391255819401731,-2.0,150,245,1.9434908315282728,-3.0,153,262,1.9597864721849028,1.0,150,246,1.9637127989945256,-2.0,150,27,1.9682149473832415,-1.0,164,16,1.9719220760591676,0.0,149,221,1.9722109970989803,1.0,153,25,1.9730526714889003,-3.0,164,6,1.9754589195891372,0.0
CDFS106745_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_023_1,148,243,1.7435851146977543,6.0,148,242,1.7748391552790244,7.0,148,115,1.811635413199428,3.0,148,222,1.8238013839746432,11.0,148,221,1.8280958867852475,8.0,148,261,1.8391669827637545,9.0,148,95,1.8441543335526984,0.0,116,143,1.8763776924640663,7.0,148,184,1.9036792079299403,4.0,149,73,1.9179908970246529,51.0
UDS000800_P4M1Q3_P4M4Q3_P4M2Q3_P4M3Q3_002_2,99,10,1.8212417521150706,7.0,149,113,1.866852011184416,12.0,164,98,1.988539705880024,12.0,109,149,2.0177311217602276,13.0,152,196,2.0185220355319227,13.0,148,60,2.032352622940716,5.0,148,157,2.063206434905727,15.0,153,187,2.1211792043110553,5.0,100,289,2.172769420693722,7.0,148,40,2.190123481628687,8.0
