dir,EWCII,VminCII,EWSiIIabs,EWSiIIemi,VSiII
0.0,-0.23924566132466382,-222.08078260416212,0.5009434387122644,-0.27925199911722437,-140.19531109228566
1.0,-0.5583794704488092,-215.71874410719073,0.07573616349077512,-0.242215061954762,-395.4605994340492
2.0,-0.20644343432362325,-207.77713325804189,0.332368848117211,-0.13592224699514452,-387.5077097620704
3.0,-0.6321269347493738,-214.13917175504656,0.18510672823041185,-0.10636275807029229,-132.2424214203402
4.0,-0.3921717971982597,-229.3144733098817,0.34076539756401253,-0.3699613050594244,-147.43927521958778
5.0,-0.27642057669117437,-230.51119310123048,0.4185860592285469,-0.19557646004864082,-148.63769461450886
6.0,-0.6876544490725869,-223.69464913098543,0.0059092052565048354,-0.2793495011197331,-141.81146966224657
7.0,-0.31981458627178777,-212.8578804084083,0.40442918590724114,-0.23598559041368997,-130.9593103600248
8.0,-0.49894170836151747,-204.34891907894357,0.17954213204586647,-0.17048066951849328,-122.43826444600292
9.0,-0.35235389874049533,-450.2588282781179,0.05333993062585755,-0.2532292322780021,-121.23984505108184
10.0,-0.7317964723853834,-209.9687432578398,-0.11236281056241518,-0.29354803531766716,-128.06607000334415
11.0,-0.30258956472667203,-220.80551198038367,0.4420184146569066,-0.2117447426698853,-138.9182293055992
12.0,-0.8294272696264514,-236.9257751748332,0.5240700283747495,-0.3035009214900539,-155.0613867964709
13.0,-0.1932061131698089,-240.8744686278815,0.1647415987984953,-0.6874120072746659,-159.0156882570292
14.0,-0.5120261834769844,-239.23064925859356,0.20175641534977434,-0.4209213057003834,-157.36953430507154
15.0,-0.10758985875961316,-232.43477713960698,0.2632693510332273,-0.32496883350474876,-150.56401056260918
16.0,-0.4685341325591169,-222.30780071701847,0.09244254010482279,-0.30509497565963817,-140.42265162048773
17.0,-0.053045622057088015,-211.56323514501688,-0.12094250260659259,-0.47254907500945115,-129.66282641736723
18.0,0.42812669768464606,-203.08007809164974,0.5541186503224174,-0.114077147954885,-121.16762142727
19.0,-0.8045662103096197,-199.13138463860145,0.4968157572385736,-0.19820060405786954,-117.21331996664516
20.0,-0.4774152144222082,-447.8818329984125,0.44166301511607553,-0.17114976652413177,-118.85947391860283
21.0,-0.048597906313582254,-207.57107612687597,-0.01185861605276347,-0.48011294942136495,-387.30135998472065
22.0,0.01967873633670971,-217.69805254949776,0.512430261524369,-0.07233211312613148,-135.8063566032199
23.0,-0.478279588168987,-228.44261812149935,1.0533553732886887,-0.1599130010315789,-146.56618180630713
24.0,-0.6087186803828702,-245.3352708758672,0.11380570715980033,-0.8094748808888337,-163.48282581903337
25.0,-0.20599681400188707,-250.4660427915371,-0.14873351027317724,-0.7770421156340219,-168.62088455199228
26.0,0.02669989080465579,-251.6349889428026,0.26645101217022105,-0.5445116389506535,-169.7914908622113
27.0,-0.26109982464948,-248.66414787462637,0.03863874886561678,-0.6923466521972255,-166.81643055057174
28.0,-0.5666876732718118,-242.00580320889853,0.3510171643939514,-0.32611596497403944,-160.1486295804044
29.0,-0.3028878775953513,-232.67362756300415,0.15007429315727908,-0.39811588809679105,-150.80320020580047
30.0,-0.014964303013026528,-222.08836008256486,0.15764121479777077,-0.472927779074931,-140.20289933239047
31.0,0.038262506587685416,-211.8615117858715,0.4540315842962367,-0.40063973052769974,-129.96152667629653
