# ID                                     RA_V606      DEC_V606      F_U                  E_U                   F_V                 E_V                   F_R                 E_R                 
  sc_CDFS012448_P4M2Q1_P4M1Q1_001_1.fits 53.167896751 -27.797952935 0.019971388274264625 0.0022107755852201635 0.23446914010057418 0.0014713928675845573 0.085177044048091   0.009402395935175953
  sc_CDFS023836_P4M4Q2_020_1.fits        53.069321785 -27.714824364 0.018434349559502183 0.0022506652833615562 0.19760833976512243 0.006078054083255043  0.09328730549233538 0.011798674682190197
  sc_CDFS220026_P1M2Q3_P1M4Q3_007_1.fits 53.013237345 -27.834587365 0.006841769402115495 0.0021436388749898555 0.09702267434973673 0.004477658789901401  0.07051722133996258 0.022189854196924333
  sc_CDFS025948_P3M4Q2_008_1.fits        53.041400807 -27.695745533 0.00787193606181562  0.002481986362682144  0.1433183026484631  0.005738955995961118  0.0549262440061422  0.01736956626624803 
