#  wl flam flam_err
4.803806996822357178e+03 1.111631522697318734e-19 9.773587013597633488e-19
4.808812924755412496e+03 1.102809499422298008e-19 8.130884232994415488e-19
4.813818852688468723e+03 1.094206173444594933e-19 6.926575626929944494e-19
4.818824780621524042e+03 1.085816267600900278e-19 5.821371437923711587e-19
4.823830708554580269e+03 1.077634610903884949e-19 4.951901294353778332e-19
4.828836636487635587e+03 1.069656136740412001e-19 4.322287402089429279e-19
4.833842564420691815e+03 1.061875881065910988e-19 3.881817151014098843e-19
4.838848492353747133e+03 1.054288980619383844e-19 3.826120257867662769e-19
4.843854420286802451e+03 1.046890671204860514e-19 3.719627100854126118e-19
4.848860348219858679e+03 1.039676285961495101e-19 3.267277880569446636e-19
4.853866276152913997e+03 1.032641253669281837e-19 2.712221386699883689e-19
4.858872204085970225e+03 1.025781097097676321e-19 2.735592655602292504e-19
4.863878132019025543e+03 1.019091431336219547e-19 3.146456945124478454e-19
4.868884059952080861e+03 1.012519710930849668e-19 3.132951236089020745e-19
4.873889987885137089e+03 1.006144510779188820e-19 2.547878009596505999e-19
4.878895915818192407e+03 9.999440736697305149e-20 2.196033519221257053e-19
4.883901843751248634e+03 9.938973542275474198e-20 2.219461517390476918e-19
4.888907771684303952e+03 9.880004090912068975e-20 2.162914040491726506e-19
4.893913699617360180e+03 9.822493778320023964e-20 1.885961540770781352e-19
4.898919627550415498e+03 9.766404814845023663e-20 1.920561210301222689e-19
4.903925555483470816e+03 9.711700210754469666e-20 2.133253256876791899e-19
4.908931483416527044e+03 9.658343762354740862e-20 2.042283514158778256e-19
4.913937411349582362e+03 9.606300037646297858e-20 1.633411517470629689e-19
4.918943339282638590e+03 9.555534362776589433e-20 1.346885712377767386e-19
4.923949267215693908e+03 9.506012808160542284e-20 1.328252474498854795e-19
4.928955195148750136e+03 9.457702175418302292e-20 1.591957890780308056e-19
4.933961123081805454e+03 9.410569983958941706e-20 1.793379880474391713e-19
4.938967051014860772e+03 9.364584458207476300e-20 1.763326250513160548e-19
4.943972978947916999e+03 9.319714514670664115e-20 1.663570734036137694e-19
4.948978906880972318e+03 9.275929749579072553e-20 1.566860398731808415e-19
4.953984834814028545e+03 9.233200426384598398e-20 1.382467370153515836e-19
4.958990762747083863e+03 9.191497463828524124e-20 1.191504174432254582e-19
4.963996690680139181e+03 9.150792423652979846e-20 1.089729133554886395e-19
4.969002618613195409e+03 9.111057499245990188e-20 1.004237405681466858e-19
4.974008546546250727e+03 9.072265503728736922e-20 9.363785135424994127e-20
4.979014474479306955e+03 9.034389858886085226e-20 9.128571178152527238e-20
4.984020402412362273e+03 8.997404583575690886e-20 9.128542408044137355e-20
4.989026330345418501e+03 8.961284283185397193e-20 9.750952925351540969e-20
4.994032258278473819e+03 8.925922424562299569e-20 1.184025894553849869e-19
4.999038186211529137e+03 8.891198681597867058e-20 1.240630718666967571e-19
5.004044114144585365e+03 1.146379598239952369e-19 1.085441234791625003e-19
5.009050042077640683e+03 1.300098423595996164e-19 9.248617828214745856e-20
5.014055970010696910e+03 1.153390518214111398e-19 8.098025678300338164e-20
5.019061897943752228e+03 5.190551933509039131e-20 7.282487749497535200e-20
5.024067825876807547e+03 8.478574947669550959e-20 7.009229147031066545e-20
5.029073753809863774e+03 1.548687067731199070e-19 6.838684530120618745e-20
5.034079681742919092e+03 2.142073819584659905e-19 6.571852984562532538e-20
5.039085609675975320e+03 1.959881734207200321e-19 6.643432162683333076e-20
5.044091537609030638e+03 1.357562638471057974e-19 6.736852964593013386e-20
5.049097465542086866e+03 1.105089389303942156e-19 6.515210172253667077e-20
5.054103393475142184e+03 9.729601991883666398e-20 6.307814887207588772e-20
5.059109321408197502e+03 1.463652233045059911e-19 6.736900958275182508e-20
5.064115249341253730e+03 8.165876540495429068e-20 6.886180547199573828e-20
5.069121177274309048e+03 1.422958906781739522e-19 6.265594022211920536e-20
5.074127105207365275e+03 1.262399566335727666e-19 5.625530172669371197e-20
5.079133033140420594e+03 -3.910794091591214524e-20 5.692609791762600528e-20
5.084138961073476821e+03 5.222106763396305922e-20 5.880291615627407677e-20
5.089144889006532139e+03 1.446479707131067999e-20 5.756348536347237152e-20
5.094150816939587457e+03 3.077952798445051402e-20 5.810572430478672147e-20
5.099156744872643685e+03 -4.061827889749282941e-20 6.513062200407880288e-20
5.104162672805699003e+03 2.148141831403945972e-19 6.870822923062142419e-20
5.109168600738755231e+03 1.511030397946479555e-19 6.443306251938367465e-20
5.114174528671810549e+03 7.838097246226833086e-20 5.946491515584796287e-20
5.119180456604865867e+03 8.205402494888228816e-20 5.792513425328105784e-20
5.124186384537922095e+03 7.927024316340628975e-20 5.847819931139265927e-20
5.129192312470977413e+03 6.276843379522526231e-20 5.712956654161461022e-20
5.134198240404033641e+03 3.243033975616713637e-20 5.438553230165238315e-20
5.139204168337088959e+03 -2.777483882141759446e-20 5.240941201731687920e-20
5.144210096270145186e+03 9.522009088245791216e-20 5.440798096149484132e-20
5.149216024203200504e+03 1.036543475867355452e-19 5.441783722082823556e-20
5.154221952136255823e+03 8.647504783135345441e-20 5.014653944818927261e-20
