#  wl flam flam_err
4.803806996822357178e+03 2.003023142140169431e-19 1.195438007842320429e-18
4.808812924755412496e+03 1.993700035749482448e-19 1.057934408318234575e-18
4.813818852688468723e+03 1.984661728365614679e-19 9.346734077695635941e-19
4.818824780621524042e+03 1.975902378462108978e-19 8.431869221810746357e-19
4.823830708554580269e+03 1.967416213675793930e-19 7.777659209314060943e-19
4.828836636487635587e+03 1.959197530476852077e-19 6.999147479672250964e-19
4.833842564420691815e+03 1.951240693782733313e-19 6.270136136790519568e-19
4.838848492353747133e+03 1.943540136560807852e-19 5.771378018278743719e-19
4.843854420286802451e+03 1.936090359503711495e-19 5.982729297327530821e-19
4.848860348219858679e+03 1.928885930636611920e-19 5.838519289349472432e-19
4.853866276152913997e+03 1.921921484941035326e-19 5.027780751897588045e-19
4.858872204085970225e+03 1.915191724012581255e-19 4.399106918960646622e-19
4.863878132019025543e+03 1.908691415636071110e-19 4.075741550935937610e-19
4.868884059952080861e+03 1.902369466010594526e-19 3.966069248758973613e-19
4.873889987885137089e+03 1.896300726667055143e-19 3.909453544884619390e-19
4.878895915818192407e+03 1.890462349407831856e-19 3.887201467181305422e-19
4.883901843751248634e+03 1.884832994963986223e-19 3.640091073455863302e-19
4.888907771684303952e+03 1.879407759491255056e-19 3.465495567987227595e-19
4.893913699617360180e+03 1.874181803138631965e-19 3.375347581536338337e-19
4.898919627550415498e+03 1.869150349680625243e-19 3.282556396030209055e-19
4.903925555483470816e+03 1.864308686102020865e-19 3.161915076890054416e-19
4.908931483416527044e+03 1.859652162298771852e-19 2.909488618185246122e-19
4.913937411349582362e+03 1.855176190646924346e-19 2.465816583737326284e-19
4.918943339282638590e+03 1.850876245683109688e-19 2.290958121494263147e-19
4.923949267215693908e+03 1.846747863678861660e-19 2.313572105785682471e-19
4.928955195148750136e+03 1.842786642330643114e-19 2.339302770925694778e-19
4.933961123081805454e+03 1.838988240341896546e-19 2.321710979053273310e-19
4.938967051014860772e+03 1.835348377088046635e-19 2.248356585919621794e-19
4.943972978947916999e+03 1.831862832210131194e-19 2.135833624675606359e-19
4.948978906880972318e+03 1.828527445282028885e-19 2.051189753852693634e-19
4.953984834814028545e+03 1.825338115408592504e-19 2.049716853755801484e-19
4.958990762747083863e+03 1.822290800898415193e-19 2.070872813428656577e-19
4.963996690680139181e+03 1.819381518826529987e-19 2.097117374691928427e-19
4.969002618613195409e+03 1.816606344743824061e-19 2.093222789564477242e-19
4.974008546546250727e+03 1.813961412238344389e-19 2.022313689349015889e-19
4.979014474479306955e+03 1.811442912626740174e-19 1.862414377338731715e-19
4.984020402412362273e+03 3.940155683843815268e-20 1.815762576542133159e-19
4.989026330345418501e+03 -8.840991855415861566e-20 1.812522138075611900e-19
4.994032258278473819e+03 5.086305184171327182e-19 1.835137141533282534e-19
4.999038186211529137e+03 1.839257223581195889e-19 1.795434567655420249e-19
5.004044114144585365e+03 3.901061399396079095e-19 1.733999012278760569e-19
5.009050042077640683e+03 1.022615285748911352e-19 1.686992861104342334e-19
5.014055970010696910e+03 2.034626337101900034e-19 1.572637959229240205e-19
5.019061897943752228e+03 2.881937528537342286e-19 1.502441817315674193e-19
5.024067825876807547e+03 1.703252943689597065e-19 1.499333525005567489e-19
5.029073753809863774e+03 3.709388796605780256e-19 1.555031639469543329e-19
5.034079681742919092e+03 1.942402346790276838e-19 1.590707105346331999e-19
5.039085609675975320e+03 1.466164604254848522e-19 1.573792532467297591e-19
5.044091537609030638e+03 2.407442642115395333e-19 1.541804047940094558e-19
5.049097465542086866e+03 1.680086675878448874e-19 1.462457842195831774e-19
5.054103393475142184e+03 -1.230249699531837654e-19 1.369819238401227757e-19
5.059109321408197502e+03 1.202610511443731127e-19 1.324263349552665566e-19
5.064115249341253730e+03 -5.270823054379986122e-20 1.333792094205570485e-19
5.069121177274309048e+03 6.085234506995952072e-20 1.339693862786493044e-19
5.074127105207365275e+03 1.023175489991269569e-21 1.320862044843155756e-19
5.079133033140420594e+03 1.668069783088547206e-19 1.273654547712104370e-19
5.084138961073476821e+03 2.182110289139636694e-19 1.258894102399091374e-19
5.089144889006532139e+03 4.275108303811698484e-20 1.235180103578867169e-19
5.094150816939587457e+03 2.570349668870007140e-19 1.237937966751673267e-19
5.099156744872643685e+03 2.008249960828908068e-19 1.229209928437912336e-19
5.104162672805699003e+03 3.917401866541130361e-20 1.297317714435047310e-19
5.109168600738755231e+03 -2.139302263238992417e-20 1.351572989673759698e-19
5.114174528671810549e+03 2.660373355518915388e-19 1.398429134011451915e-19
5.119180456604865867e+03 2.105897040242258685e-19 1.409047225001723672e-19
5.124186384537922095e+03 3.582308699468006676e-19 1.385981652817213590e-19
5.129192312470977413e+03 2.389254427307717933e-19 1.328693395871739237e-19
5.134198240404033641e+03 1.991381467267351526e-19 1.296666242140331091e-19
5.139204168337088959e+03 1.410877121155530517e-19 1.255313117874706580e-19
5.144210096270145186e+03 1.107845074853296041e-20 1.227127546539855317e-19
5.149216024203200504e+03 4.917252372138140652e-20 1.223924705353666819e-19
5.154221952136255823e+03 1.608181139825340962e-19 1.207459791502256860e-19
5.159227880069312050e+03 6.617927013818246915e-20 1.137226453794513789e-19
5.164233808002367368e+03 1.191203275021788840e-19 1.021205873308682293e-19
5.169239735935423596e+03 5.658041159260642328e-20 9.284453197436336356e-20
5.174245663868478914e+03 8.986668374202869048e-20 9.073283875684524585e-20
5.179251591801534232e+03 1.405641967476381738e-19 9.091356084217798846e-20
5.184257519734590460e+03 1.447813071129011287e-19 9.488554487893707484e-20
5.189263447667645778e+03 2.374557408108190348e-20 1.014726406062274619e-19
5.194269375600702006e+03 -8.385215017208945584e-20 1.068078848854359826e-19
5.199275303533757324e+03 8.751161156988719833e-20 1.081799965402877778e-19
5.204281231466813551e+03 3.328096009862022064e-20 1.058576312428262339e-19
5.209287159399868870e+03 2.506956283872892445e-19 1.020429168084364691e-19
5.214293087332924188e+03 2.811124539449433465e-19 1.025939035346485617e-19
5.219299015265980415e+03 -6.814663891176498717e-23 1.038404099349953143e-19
5.224304943199035733e+03 1.558144978802251298e-19 1.058737681436427216e-19
5.229310871132091961e+03 1.336089934272164199e-19 1.068412510570347401e-19
5.234316799065147279e+03 1.668820481717619072e-19 1.081102514216822131e-19
5.239322726998203507e+03 7.886930067685478894e-20 1.075531653312199201e-19
5.244328654931258825e+03 2.965016716080568041e-20 1.055118357318134978e-19
5.249334582864314143e+03 1.429620670969598743e-19 1.042733698439466894e-19
5.254340510797370371e+03 1.007477576048025365e-19 1.027679965742705444e-19
5.259346438730425689e+03 6.260055818530262314e-20 9.809387128116663191e-20
5.264352366663481916e+03 5.356214638649932822e-20 9.223474576691909353e-20
5.269358294596537235e+03 9.313586577022538005e-20 9.012890053396041765e-20
5.274364222529593462e+03 4.917067815448490779e-21 9.153389327523117226e-20
