#  wl flam flam_err
4.803806996822357178e+03 9.088092613841237923e-19 1.331814119734522508e-18
4.808812924755412496e+03 -4.574183951836802903e-19 1.218092313798664086e-18
4.813818852688468723e+03 1.906330799149505334e-18 1.088182071689174048e-18
4.818824780621524042e+03 1.532407197002313671e-18 9.785395869443734323e-19
4.823830708554580269e+03 2.328832006281719862e-18 8.975833421628225845e-19
4.828836636487635587e+03 7.192575292351511966e-19 8.142367384767069487e-19
4.833842564420691815e+03 -3.521067451284686513e-19 7.456771254085322121e-19
4.838848492353747133e+03 2.514982746206659154e-18 7.067473010654219642e-19
4.843854420286802451e+03 5.840356857167615703e-19 7.344546795346103737e-19
4.848860348219858679e+03 1.008603080337461554e-18 7.077318807984204313e-19
4.853866276152913997e+03 1.798972849373669539e-18 6.052194664675795985e-19
4.858872204085970225e+03 2.057203477456347074e-18 5.339766637317084861e-19
4.863878132019025543e+03 7.444216179949054352e-19 5.047798356449360387e-19
4.868884059952080861e+03 1.023850563929171523e-18 4.951469525371967339e-19
4.873889987885137089e+03 2.796409361512294529e-19 4.853718398333743209e-19
4.878895915818192407e+03 1.378768650327908203e-18 4.859291114042546112e-19
4.883901843751248634e+03 1.063381872110894048e-18 4.614754046210900802e-19
4.888907771684303952e+03 1.400572554918536998e-18 4.391960053339038771e-19
4.893913699617360180e+03 1.128579963435153278e-18 4.327032450436348587e-19
4.898919627550415498e+03 3.358416729741183732e-19 4.226414031039444472e-19
4.903925555483470816e+03 8.978162015131683925e-19 4.036116360276978882e-19
4.908931483416527044e+03 7.009686819821262966e-19 3.700176491142909415e-19
4.913937411349582362e+03 8.837807835053535800e-19 3.210109912447174554e-19
4.918943339282638590e+03 4.760447747531599439e-19 2.994957852327344011e-19
4.923949267215693908e+03 3.472441723918068828e-19 3.053346306531289825e-19
4.928955195148750136e+03 7.859139940071141214e-19 3.114512330003874705e-19
4.933961123081805454e+03 5.558026718894976122e-19 3.083143567426357489e-19
4.938967051014860772e+03 1.393386292034511794e-19 2.979730901245104154e-19
4.943972978947916999e+03 7.242351660039616563e-19 2.888183215453033391e-19
4.948978906880972318e+03 1.145183962547568188e-18 2.810542562706510835e-19
4.953984834814028545e+03 9.975637026755058793e-19 2.782253183701500263e-19
4.958990762747083863e+03 6.835566640016804314e-19 2.814843663784825212e-19
4.963996690680139181e+03 1.025044233807915885e-18 2.872409964117631984e-19
4.969002618613195409e+03 7.460623086206307322e-19 2.868636316205899517e-19
4.974008546546250727e+03 1.011194875058876120e-18 2.748864661442703616e-19
4.979014474479306955e+03 1.202924630980294515e-18 2.500192897494695836e-19
4.984020402412362273e+03 9.420432002917681155e-19 2.431307185196388042e-19
4.989026330345418501e+03 1.137674555721036206e-18 2.505673203989901619e-19
4.994032258278473819e+03 8.751290546924013725e-19 2.583202381800162377e-19
4.999038186211529137e+03 4.810429256995959403e-19 2.516285090151041825e-19
5.004044114144585365e+03 9.502670992265438574e-19 2.427766584062484444e-19
5.009050042077640683e+03 1.086703041567884520e-18 2.298802189824098666e-19
5.014055970010696910e+03 1.043353434864130944e-18 2.124275111986074734e-19
5.019061897943752228e+03 9.758803794308076156e-19 2.046662768534019257e-19
5.024067825876807547e+03 7.900480548329456614e-19 2.114394637587487892e-19
5.029073753809863774e+03 9.012179633581425582e-19 2.208342791969492254e-19
5.034079681742919092e+03 1.027735150925511248e-18 2.206652860071831352e-19
5.039085609675975320e+03 6.832728323930516708e-19 2.119308811759471071e-19
5.044091537609030638e+03 2.721263791869792673e-19 2.036677962847487649e-19
5.049097465542086866e+03 6.447588312885599006e-19 1.963883475181330504e-19
5.054103393475142184e+03 6.892576289476449994e-19 1.891800061157965924e-19
5.059109321408197502e+03 7.009467377443340738e-19 1.885186435765988605e-19
5.064115249341253730e+03 8.776274049215734607e-19 1.868681231122759343e-19
5.069121177274309048e+03 7.545594492620757353e-19 1.855345218229670290e-19
5.074127105207365275e+03 4.228882091885819815e-19 1.787372938889941608e-19
5.079133033140420594e+03 8.126742777035381022e-19 1.712425828938184548e-19
5.084138961073476821e+03 6.114203860628995810e-19 1.716060273520422877e-19
5.089144889006532139e+03 5.688646576449457436e-19 1.706177868493060733e-19
5.094150816939587457e+03 -3.835643501241332893e-20 1.717486215130210381e-19
5.099156744872643685e+03 1.887055085353109938e-19 1.722712140665103263e-19
5.104162672805699003e+03 2.373375421639806164e-19 1.822527581346808974e-19
5.109168600738755231e+03 4.517864270290361423e-19 1.907920985668160664e-19
5.114174528671810549e+03 7.692781606317172526e-19 1.966095507001465064e-19
5.119180456604865867e+03 6.721218723852791032e-19 1.926359800713495637e-19
5.124186384537922095e+03 1.502179938746975369e-18 1.898810419257438858e-19
5.129192312470977413e+03 1.957605931214473767e-18 1.866714426186096552e-19
5.134198240404033641e+03 1.477144806218767846e-18 1.851948469811455942e-19
5.139204168337088959e+03 3.737926312479873572e-18 1.916254681544082529e-19
5.144210096270145186e+03 4.916162697058426231e-18 1.922820418896722298e-19
5.149216024203200504e+03 2.765770687508262537e-18 1.846359995681099097e-19
5.154221952136255823e+03 1.731991160409862158e-18 1.708778383415270217e-19
5.159227880069312050e+03 1.056949026358850274e-18 1.547246071332502442e-19
5.164233808002367368e+03 1.107652189629054334e-18 1.371357566998173371e-19
