#  wl flam flam_err
4.803806996822357178e+03 -2.485776738238185287e-19 2.301995104572607897e-18
4.808812924755412496e+03 1.795431592309215302e-18 2.079697670908491848e-18
4.813818852688468723e+03 -2.804900738101456619e-20 1.868691600218914160e-18
4.818824780621524042e+03 2.253114758799644883e-18 1.727267143255698808e-18
4.823830708554580269e+03 8.647182914661729972e-19 1.619905629747298573e-18
4.828836636487635587e+03 7.064738568428036636e-19 1.500693011552547852e-18
4.833842564420691815e+03 1.257289191635214090e-18 1.340299298314249217e-18
4.838848492353747133e+03 2.060915734730398831e-18 1.196927105618819246e-18
4.843854420286802451e+03 1.168795148117564942e-18 1.099682973811676113e-18
4.848860348219858679e+03 2.477522772844278961e-19 1.021297301662516574e-18
4.853866276152913997e+03 8.173265427922671334e-19 9.447379804412506159e-19
4.858872204085970225e+03 8.686897086719468040e-19 8.706077898732383880e-19
4.863878132019025543e+03 1.213478201232013867e-18 8.164158856759924353e-19
4.868884059952080861e+03 9.203482999204242150e-19 7.695992970242683942e-19
4.873889987885137089e+03 7.661537344662274922e-19 7.186995578812343244e-19
4.878895915818192407e+03 8.621359466369588062e-19 6.620704289028306445e-19
4.883901843751248634e+03 2.839100673048248414e-19 6.050000090697071196e-19
4.888907771684303952e+03 1.016797406195019918e-18 5.709349666790424304e-19
4.893913699617360180e+03 5.812214954000732302e-19 5.469344029038758921e-19
4.898919627550415498e+03 7.612155802884712252e-19 5.152294573180550901e-19
4.903925555483470816e+03 1.040954029380293384e-18 4.828180105299471667e-19
4.908931483416527044e+03 1.229433292918868798e-18 4.531982411767488082e-19
4.913937411349582362e+03 1.025633737452603050e-18 4.365719403491642127e-19
4.918943339282638590e+03 7.136652143679815631e-19 4.235710492296479267e-19
4.923949267215693908e+03 1.099342566349821985e-18 4.074145666837872338e-19
4.928955195148750136e+03 9.354560076531495345e-19 3.890177699389760216e-19
4.933961123081805454e+03 6.628126748839853156e-19 3.738914266470276775e-19
4.938967051014860772e+03 3.801992770823817027e-19 3.682649420843983425e-19
4.943972978947916999e+03 5.116606427238312867e-19 3.668375978656284520e-19
4.948978906880972318e+03 9.493567718993912287e-19 3.636766455793441427e-19
4.953984834814028545e+03 4.870276022639009679e-19 3.572098891976802460e-19
4.958990762747083863e+03 3.991341384556200649e-19 3.546848173078034766e-19
4.963996690680139181e+03 3.787371093870526186e-20 3.565845831821568132e-19
4.969002618613195409e+03 2.903514515916036578e-19 3.578937387630032902e-19
4.974008546546250727e+03 1.781116640937284380e-19 3.501557127089815943e-19
4.979014474479306955e+03 4.345594807341112898e-19 3.341500829302691236e-19
4.984020402412362273e+03 7.040515964116499778e-19 3.206615222692094695e-19
4.989026330345418501e+03 6.609792288719660193e-19 3.123927191492373919e-19
4.994032258278473819e+03 5.986747911032940754e-19 3.036288661433116954e-19
4.999038186211529137e+03 6.984721162483484326e-19 2.850636341706642830e-19
5.004044114144585365e+03 5.263147503991128371e-19 2.637407786296480556e-19
5.009050042077640683e+03 8.908715383208020900e-19 2.485111203444626195e-19
5.014055970010696910e+03 6.574041890167848482e-19 2.401982484140116822e-19
5.019061897943752228e+03 7.619532439370835283e-19 2.363498078659306391e-19
5.024067825876807547e+03 5.306602526074681602e-19 2.328058624923967594e-19
5.029073753809863774e+03 3.910936600230022047e-19 2.294888701835081521e-19
5.034079681742919092e+03 6.254275371862151479e-19 2.262699335991117051e-19
5.039085609675975320e+03 9.278055612357676472e-19 2.272904346432941943e-19
5.044091537609030638e+03 9.206034924267758069e-19 2.293236044869982857e-19
5.049097465542086866e+03 5.317508175744632995e-19 2.296804574992391153e-19
5.054103393475142184e+03 3.851837764274544728e-19 2.258556548940661331e-19
5.059109321408197502e+03 2.335854491900398481e-19 2.203054353543480153e-19
5.064115249341253730e+03 3.797947124270595382e-19 2.151447134472677695e-19
5.069121177274309048e+03 1.792415824897172654e-19 2.112612226531152596e-19
5.074127105207365275e+03 4.510582381319305130e-19 2.055888931517474746e-19
5.079133033140420594e+03 6.069975027530202637e-19 1.975221711698496574e-19
5.084138961073476821e+03 5.954853830087419599e-19 1.911076086645594765e-19
5.089144889006532139e+03 2.973299087940074593e-19 1.872458878325914423e-19
5.094150816939587457e+03 1.007931048866215582e-19 1.857980946625186767e-19
5.099156744872643685e+03 4.852514061751895776e-19 1.855127598993042350e-19
5.104162672805699003e+03 5.555132682361966670e-19 1.837989552938052787e-19
5.109168600738755231e+03 6.675177903742533943e-19 1.826919029219261317e-19
5.114174528671810549e+03 9.268884038939232147e-19 1.837596703407325197e-19
5.119180456604865867e+03 8.826912576737459197e-19 1.895492088074494047e-19
5.124186384537922095e+03 6.407295979314862025e-19 1.913834915124983443e-19
5.129192312470977413e+03 6.864734860972730449e-19 1.882764501950284200e-19
5.134198240404033641e+03 6.430537406730696970e-19 1.839534357747705399e-19
5.139204168337088959e+03 8.337570990144135106e-19 1.786974678495687394e-19
5.144210096270145186e+03 6.280756559792947968e-19 1.758614079932977920e-19
5.149216024203200504e+03 7.484739431884958408e-19 1.738644277862839647e-19
5.154221952136255823e+03 7.491280028922944041e-19 1.689208975358297131e-19
5.159227880069312050e+03 7.033956990106109697e-19 1.606572632105859522e-19
5.164233808002367368e+03 4.852338555034783275e-19 1.519005050212182106e-19
5.169239735935423596e+03 6.759317555530969840e-19 1.454736270492934487e-19
5.174245663868478914e+03 5.989270810703742027e-19 1.426643687299006853e-19
5.179251591801534232e+03 4.622274970643361786e-19 1.408041531257427671e-19
5.184257519734590460e+03 8.905924685441589869e-19 1.387948056052288080e-19
5.189263447667645778e+03 8.807501122255956164e-19 1.368056246278426762e-19
5.194269375600702006e+03 8.818769599038863037e-19 1.380962721123129731e-19
5.199275303533757324e+03 4.271232095807554378e-19 1.412021274506479356e-19
5.204281231466813551e+03 3.025201863224600892e-19 1.439646616955153821e-19
5.209287159399868870e+03 2.986147558950535120e-19 1.465155221714728759e-19
5.214293087332924188e+03 3.657140067700266869e-19 1.481373678865658894e-19
5.219299015265980415e+03 4.001395255236790097e-19 1.495285523074614764e-19
5.224304943199035733e+03 2.834377485570397275e-19 1.524318312316635162e-19
5.229310871132091961e+03 3.481905339744418331e-19 1.570005311133213193e-19
5.234316799065147279e+03 4.683707074463033148e-19 1.615186252269093590e-19
5.239322726998203507e+03 7.798064289528688147e-19 1.620034374964231794e-19
5.244328654931258825e+03 3.823697412644318801e-19 1.582596020416591890e-19
5.249334582864314143e+03 -6.926450349397885483e-20 1.546985910470899918e-19
5.254340510797370371e+03 -1.430943047351900295e-19 1.502718026228107879e-19
5.259346438730425689e+03 4.383486514959353573e-20 1.441977454742414666e-19
5.264352366663481916e+03 -3.005223859131618193e-20 1.391528923140547714e-19
5.269358294596537235e+03 3.908491493720561752e-20 1.338711070558065843e-19
5.274364222529593462e+03 2.839259254939479080e-19 1.300213877265397476e-19
5.279370150462648780e+03 3.457467310688972833e-19 1.266792717075838994e-19
5.284376078395704099e+03 5.064250040365231518e-20 1.258795834169683651e-19
5.289382006328760326e+03 2.492856131192439453e-19 1.275362812376585707e-19
5.294387934261815644e+03 5.402185116740279634e-19 1.284717134295919196e-19
5.299393862194871872e+03 3.885896297365578187e-19 1.277770495493510800e-19
5.304399790127927190e+03 3.599097699676055986e-19 1.259322507450799586e-19
5.309405718060982508e+03 1.682151436619359974e-19 1.240970870501730131e-19
5.314411645994038736e+03 2.639025286145637855e-19 1.239819783508293032e-19
5.319417573927094054e+03 5.469739680388442093e-19 1.249115147409293688e-19
5.324423501860150282e+03 5.822065816057166843e-19 1.238746879000627663e-19
5.329429429793205600e+03 3.863072696462129360e-19 1.217099913988277804e-19
5.334435357726260918e+03 4.129055167226049658e-19 1.188279747280604186e-19
5.339441285659317145e+03 2.204651039619797238e-19 1.156481531740382047e-19
5.344447213592372464e+03 7.951798330832514306e-20 1.160510445858877634e-19
5.349453141525428691e+03 2.942655352749341805e-19 1.170070795941475292e-19
5.354459069458484009e+03 2.260866224607612522e-19 1.177595004544748991e-19
5.359464997391540237e+03 2.730480727273332831e-19 1.161265211747257928e-19
5.364470925324595555e+03 2.384538027850309436e-19 1.153475951612283893e-19
5.369476853257650873e+03 -2.923186770042650136e-20 1.155492408547962780e-19
5.374482781190707101e+03 8.703677617564761932e-20 1.187233317436975321e-19
5.379488709123762419e+03 1.141623188305586356e-19 1.214666693892927971e-19
5.384494637056818647e+03 1.149859193296187647e-19 1.217312018512701272e-19
5.389500564989873965e+03 -3.901638895596248784e-20 1.191500257605144808e-19
5.394506492922930192e+03 3.816703490465222144e-20 1.160211762560011393e-19
5.399512420855985511e+03 5.834869184738394680e-20 1.132052999783075342e-19
5.404518348789040829e+03 1.284930052089210239e-19 1.125872694309289996e-19
5.409524276722097056e+03 1.979576820570883878e-19 1.138372027127423092e-19
5.414530204655152374e+03 8.607424405646485018e-20 1.143580039513304740e-19
5.419536132588208602e+03 6.997555568920294041e-20 1.125734241864826602e-19
5.424542060521263920e+03 2.817533299478204227e-19 1.097650803363166167e-19
5.429547988454320148e+03 2.106571486571897700e-19 1.061912528760574592e-19
5.434553916387375466e+03 3.119216831616190146e-19 1.040880620497953776e-19
5.439559844320430784e+03 3.150554811067880345e-19 1.029661398223781846e-19
5.444565772253487012e+03 3.335913665056633248e-19 1.020613518395599853e-19
5.449571700186542330e+03 4.593651501314871135e-19 1.005698004808276877e-19
5.454577628119598558e+03 4.646307594408438064e-19 9.821600872690649566e-20
5.459583556052653876e+03 3.810696195752307541e-19 9.602560013515239743e-20
5.464589483985709194e+03 2.918897006925302177e-19 9.481575628148581079e-20
5.469595411918765421e+03 3.729455839451613742e-19 9.477181329204842352e-20
5.474601339851820740e+03 3.082345240484537143e-19 9.720178832621984122e-20
5.479607267784876967e+03 3.873687695987354946e-19 9.850139453875150434e-20
5.484613195717932285e+03 3.379879073969310845e-19 1.006497066028516798e-19
5.489619123650987603e+03 3.555217464186369037e-19 1.014968547173140539e-19
5.494625051584043831e+03 3.179163933557491772e-19 1.027590182446874868e-19
