#  wl flam flam_err
4.803806996822357178e+03 3.410177050888567468e-20 1.182281783241327732e-18
4.808812924755412496e+03 3.383113531457343471e-20 1.069161559809722624e-18
4.813818852688468723e+03 3.356720914649134269e-20 9.340422532269676320e-19
4.818824780621524042e+03 3.330983011591239441e-20 7.980113344115839246e-19
4.823830708554580269e+03 3.305883959129404287e-20 7.183256115894664659e-19
4.828836636487635587e+03 3.281408214300430986e-20 6.615432405941851096e-19
4.833842564420691815e+03 3.257540548793024117e-20 6.158043525995973242e-19
4.838848492353747133e+03 3.234266043471921644e-20 5.504197516609037475e-19
4.843854420286802451e+03 3.211570083105879563e-20 4.788736135819433652e-19
4.848860348219858679e+03 3.189438351060807452e-20 4.224493323442919614e-19
4.853866276152913997e+03 3.167856824102168639e-20 3.847505646593267295e-19
4.858872204085970225e+03 3.146811767329014685e-20 3.626278453979153457e-19
4.863878132019025543e+03 3.126289729052805849e-20 3.447867187226666436e-19
4.868884059952080861e+03 3.106129514401039109e-20 3.237505493766638875e-19
4.873889987885137089e+03 3.086572169356286023e-20 3.057937121452175595e-19
4.878895915818192407e+03 3.067550948830940451e-20 2.968060196119403850e-19
4.883901843751248634e+03 3.049001291454491891e-20 2.895966906846678870e-19
4.888907771684303952e+03 3.030911100088289796e-20 2.794439182037546305e-19
4.893913699617360180e+03 3.013268532008272140e-20 2.598746167470723368e-19
4.898919627550415498e+03 2.996061994397097681e-20 2.365748436390030817e-19
4.903925555483470816e+03 2.979280139831217239e-20 2.172406897510276996e-19
4.908931483416527044e+03 2.962911862022022076e-20 2.064721026502584437e-19
4.913937411349582362e+03 2.946946291415239625e-20 2.020551384804783401e-19
4.918943339282638590e+03 2.931372791035052318e-20 1.978630469987346495e-19
4.923949267215693908e+03 2.916180952226254069e-20 1.869768315961025460e-19
4.928955195148750136e+03 1.020959319078439019e-19 1.738282611852383553e-19
4.933961123081805454e+03 1.810654616245385692e-20 1.643222650312832494e-19
4.938967051014860772e+03 1.556816367782703555e-19 1.593697347062207470e-19
4.943972978947916999e+03 2.095136308782572350e-19 1.592288485812569583e-19
4.948978906880972318e+03 8.769020876117814480e-20 1.577565290222471039e-19
4.953984834814028545e+03 -9.185455729239096261e-20 1.527595052578566129e-19
4.958990762747083863e+03 -1.168286186193797602e-19 1.438049853916051116e-19
4.963996690680139181e+03 -3.157071071145808063e-20 1.389046176097172982e-19
4.969002618613195409e+03 -3.287168465404079076e-19 1.371548682457548563e-19
4.974008546546250727e+03 -8.902725092784020218e-20 1.391277720014236951e-19
4.979014474479306955e+03 3.371880919406846186e-20 1.394120962223937398e-19
4.984020402412362273e+03 1.154849458927398658e-19 1.354945709296510209e-19
4.989026330345418501e+03 7.449811871183871968e-21 1.292454721878198852e-19
4.994032258278473819e+03 1.559307897282781680e-19 1.245296200509694054e-19
4.999038186211529137e+03 9.933146168749221915e-20 1.203917366063724342e-19
5.004044114144585365e+03 1.935438360657684545e-20 1.174474697491528417e-19
5.009050042077640683e+03 5.408799641929515717e-20 1.151366432024271391e-19
5.014055970010696910e+03 9.298847659155716527e-20 1.097546135799166686e-19
5.019061897943752228e+03 3.687936171936129859e-20 1.024196009096579263e-19
5.024067825876807547e+03 2.285168990190056076e-19 9.690239286388901380e-20
5.029073753809863774e+03 1.206364410796457342e-19 9.448470407664435628e-20
5.034079681742919092e+03 9.546182859282320749e-20 9.481027086318942710e-20
5.039085609675975320e+03 3.274571948803139570e-19 9.534584019336484755e-20
5.044091537609030638e+03 5.719967707008545087e-19 9.457731217746119051e-20
5.049097465542086866e+03 3.206821759156520308e-19 9.111150965587479510e-20
5.054103393475142184e+03 2.095983746875663515e-19 8.762190172834425333e-20
5.059109321408197502e+03 1.242948010270873281e-19 8.513901417815241573e-20
5.064115249341253730e+03 1.135767255850194408e-19 8.466584168117278103e-20
5.069121177274309048e+03 1.555567099113241752e-19 8.498114772181052977e-20
5.074127105207365275e+03 1.731743576246808449e-19 8.510664656221924533e-20
5.079133033140420594e+03 6.142155397222874722e-20 8.357875734829766862e-20
5.084138961073476821e+03 -7.611789477301857774e-20 8.154249416582580027e-20
5.089144889006532139e+03 7.625578507025136790e-20 8.058375061580313996e-20
5.094150816939587457e+03 2.210344120691422704e-20 8.121659013780267640e-20
5.099156744872643685e+03 9.988567094155420899e-20 8.366078089184355250e-20
5.104162672805699003e+03 2.945703383567804150e-20 8.622514739054908422e-20
5.109168600738755231e+03 5.192706737988686176e-20 8.811501790057902279e-20
5.114174528671810549e+03 4.329465197512149934e-20 8.869526263379230175e-20
5.119180456604865867e+03 1.383213351188689496e-19 8.804786640930589795e-20
5.124186384537922095e+03 3.426131220391126973e-20 8.538909274162324706e-20
5.129192312470977413e+03 7.720310647879502138e-20 8.272537555597603527e-20
5.134198240404033641e+03 5.866914505016460536e-20 8.101849256895410722e-20
5.139204168337088959e+03 4.451681123698100885e-20 7.926331433208367120e-20
5.144210096270145186e+03 2.949081533747513867e-20 7.673408595605457884e-20
5.149216024203200504e+03 9.120098472845454287e-20 7.303990635363928379e-20
5.154221952136255823e+03 1.578082781515442290e-19 6.913045124597176387e-20
5.159227880069312050e+03 8.288417221600682403e-20 6.600092061880299307e-20
5.164233808002367368e+03 6.970614131282523827e-20 6.386830842154118109e-20
5.169239735935423596e+03 1.211045697583294707e-19 6.326986190701599323e-20
5.174245663868478914e+03 9.291122898258548158e-20 6.277541789304219557e-20
5.179251591801534232e+03 1.968122721905026109e-19 6.223767922502746994e-20
5.184257519734590460e+03 9.764175706135287876e-20 6.084837948752181457e-20
5.189263447667645778e+03 -1.052034255069400200e-20 5.989176885789748354e-20
5.194269375600702006e+03 5.210167967187228901e-20 6.012324545872570364e-20
5.199275303533757324e+03 1.006185342852623077e-20 6.181315537486667605e-20
5.204281231466813551e+03 9.455566427441639178e-20 6.325128729812631776e-20
5.209287159399868870e+03 1.555903965376941584e-19 6.432563198536494141e-20
5.214293087332924188e+03 7.517036001408249550e-20 6.437813802215650265e-20
5.219299015265980415e+03 1.168635181817452841e-19 6.381027986743356130e-20
5.224304943199035733e+03 1.028378328359846203e-19 6.250476692969515761e-20
5.229310871132091961e+03 8.755565734764159461e-20 6.226644811242797555e-20
5.234316799065147279e+03 1.810664248140120349e-19 6.342242595769914940e-20
5.239322726998203507e+03 2.063966601523678452e-19 6.556156218024862258e-20
5.244328654931258825e+03 2.816159844323012590e-19 6.700836019114528691e-20
5.249334582864314143e+03 9.016900157178217076e-20 6.755825086559035988e-20
5.254340510797370371e+03 1.607378779501670910e-19 6.583653183360945776e-20
5.259346438730425689e+03 5.684855037020155332e-20 6.214646905429402575e-20
5.264352366663481916e+03 1.130058684680315209e-19 5.899837858096438014e-20
5.269358294596537235e+03 1.503887169508821464e-19 5.784336806005851710e-20
5.274364222529593462e+03 1.954250408790323856e-19 5.816440828461480658e-20
5.279370150462648780e+03 1.434034908280878480e-19 5.890984027031065600e-20
5.284376078395704099e+03 2.433306525211585936e-19 5.882623261971516653e-20
5.289382006328760326e+03 4.731555902365115225e-20 5.853442009920925007e-20
5.294387934261815644e+03 4.617799632996824875e-20 5.713272968207911210e-20
5.299393862194871872e+03 1.087453670902967126e-19 5.540557112093043435e-20
5.304399790127927190e+03 2.022904649920083297e-19 5.425624575427643736e-20
5.309405718060982508e+03 1.754701438665279833e-19 5.375680048924202956e-20
5.314411645994038736e+03 1.581913461758792264e-19 5.358110073349038029e-20
5.319417573927094054e+03 1.204635926679112638e-19 5.396859227153839420e-20
5.324423501860150282e+03 2.155317930095996530e-19 5.368936240352172183e-20
5.329429429793205600e+03 1.221244114203004783e-19 5.289018476666965358e-20
5.334435357726260918e+03 8.441814273798107585e-20 5.183303148701670163e-20
5.339441285659317145e+03 1.733924999634565435e-19 5.109547472814758980e-20
5.344447213592372464e+03 2.233298523069656459e-19 5.150430383873463212e-20
5.349453141525428691e+03 1.154677478481181552e-19 5.232863813798164048e-20
5.354459069458484009e+03 1.213832674677316909e-19 5.442519267375710845e-20
5.359464997391540237e+03 5.494007395280788673e-20 5.601067611497205885e-20
5.364470925324595555e+03 1.169896606414209373e-19 5.691682195223824414e-20
5.369476853257650873e+03 1.914107967267970183e-19 5.737805692091776051e-20
5.374482781190707101e+03 1.610897796754599793e-19 5.716139111985049396e-20
5.379488709123762419e+03 2.765729187390793752e-19 5.644929631353353742e-20
5.384494637056818647e+03 1.698536736914755120e-19 5.518898278166962275e-20
5.389500564989873965e+03 1.529873304067562134e-19 5.369574173345584405e-20
5.394506492922930192e+03 4.798256898131874809e-20 5.313601917648502063e-20
5.399512420855985511e+03 2.654704996944142385e-20 5.228596125688633505e-20
5.404518348789040829e+03 9.891824523798296559e-20 5.088199155650575143e-20
5.409524276722097056e+03 1.516253103491997211e-19 4.953551248544445378e-20
5.414530204655152374e+03 1.808434171489614190e-19 4.799863646347505972e-20
5.419536132588208602e+03 2.100785279447092813e-19 4.702332511333367585e-20
5.424542060521263920e+03 2.137179442325465386e-19 4.626342034511914040e-20
